id;protocolo;processo;assunto;despacho;data_publicacao;coord_despacho;documento;data_extracao
5f7c8bbf8371ee00087bab5d;40-20-SP-SAO;1010.2020/0007510-4;Alvará de Execução de Edificação Nova (HIS/ HMP);Despacho deferido;16/02/2021;;;2023.10.09
5f7df6031d03b700089e4cb9;42-20-SP-SAO;1010.2020/0007703-4;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho indeferido;17/11/2020;;;2023.10.09
5f7dfa4ab6fe3b000865bd2a;43-20-SP-SAO;1010.2020/0007702-6;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);Despacho deferido;20/07/2021;;;2023.10.09
5f7f49fe8547aa0008592d95;45-20-SP-NEW;1010.2020/0008660-2;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;08/06/2022;;;2023.10.09
5f7f50e1ad4f27000831aefe;46-20-SP-NEW;1010.2020/0007569-4;Certificado de Acessibilidade;Despacho deferido;16/02/2023;;;2023.10.09
5f7f761b7d43c7000833ee8b;46-20-SP-SAO;1010.2020/0007720-4;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;05/04/2021;;;2023.10.09
5f7f761b7d43c7000833ee8b;46-20-SP-SAO;1010.2020/0007720-4;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;05/04/2021;;;2023.10.09
5f7f761b7d43c7000833ee8b;46-20-SP-SAO;1010.2020/0007720-4;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;05/04/2021;;;2023.10.09
5f7f81bf17fb0e00083f5df3;47-20-SP-SAO;1010.2020/0008454-5;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);Despacho deferido;19/01/2022;;;2023.10.09
5f7fd0740a0e71000826ec9a;48-20-SP-NEW;1020.2020/0015997-3;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;24/06/2022;;;2023.10.09
5f8057910bc53500078d03f8;49-20-SP-SAO;1010.2020/0007568-6;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);Despacho deferido;19/01/2022;;;2023.10.09
5f80737e4619fb00083265a9;50-20-SP-SAO;1010.2020/0008082-5;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;02/09/2021;;;2023.10.09
5f8085d9a04f3d000873b83c;52-20-SP-SAO;1010.2020/0007567-8;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho indeferido;09/02/2021;;;2023.10.09
5f8085d9a04f3d000873b83c;52-20-SP-SAO;1010.2020/0007567-8;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;10/12/2021;;;2023.10.09
5f809b9ca10fa40008467e3f;53-20-SP-SAO;1010.2020/0007931-2;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;04/06/2021;;;2023.10.09
5f80c43e25fe9f0008206e0e;54-20-SP-NEW;1020.2020/0015996-5;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;15/06/2022;;;2023.10.09
5f80d5cf37e35200072da91e;55-20-SP-NEW;1020.2020/0015995-7;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;19/05/2022;;;2023.10.09
5f80e88ca72d15000770838e;56-20-SP-NEW;1020.2020/0015993-0;Alvará de Execução para instalação de Estação Rádio-Base;Despacho deferido;26/02/2021;;;2023.10.09
5f80e88ca72d15000770838e;56-20-SP-NEW;1020.2020/0015993-0;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;26/05/2021;;;2023.10.09
5f86177d29910c0007728e73;59-20-SP-SAO;1010.2020/0008380-8;Alvará de Aprovação de Edificação Nova (HIS/ HMP);Despacho deferido;28/07/2021;;;2023.10.09
5f8617bc29910c0007728e76;60-20-SP-SAO;1010.2020/0007924-0;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);Despacho deferido;20/05/2022;;;2023.10.09
5f8617bc29910c0007728e76;60-20-SP-SAO;1010.2020/0007924-0;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);Despacho deferido;09/09/2022;;;2023.10.09
5f8637fa9156bb0008e6abba;61-20-SP-NEW;1020.2020/0016003-3;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;29/06/2022;;;2023.10.09
5f864f0983194600089e7c26;62-20-SP-SAO;1010.2020/0007829-4;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho indeferido;16/04/2021;;;2023.10.09
5f868c35ddb7380009d0455c;63-20-SP-SAO;1010.2020/0008503-7;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);Despacho indeferido;20/04/2021;;;2023.10.09
5f8739a68348fc0008efc7d3;65-20-SP-NEW;1010.2020/0008690-4;Certificado de Acessibilidade;Despacho indeferido;14/01/2022;;;2023.10.09
5f87404e44d566000817d1b4;66-20-SP-NEW;1010.2020/0008651-3;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;15/03/2021;;;2023.10.09
5f87404e44d566000817d1b4;66-20-SP-NEW;1010.2020/0008651-3;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;10/05/2022;;;2023.10.09
5f87932507d83e00089dc55d;68-20-SP-NEW;1010.2020/0008669-6;Alvará de Funcionamento de Local de Reunião;Despacho indeferido;09/02/2021;;;2023.10.09
5f883f019461e80008bef940;69-20-SP-SAO;1020.2020/0014330-9;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;14/10/2022;;;2023.10.09
5f888ad74bd47b0008d05311;74-20-SP-SAO;1010.2020/0007986-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;10/10/2022;;;2023.10.09
5f88943595dbdb0007ee7eb9;75-20-SP-SAO;1010.2020/0007932-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;15/04/2021;;;2023.10.09
5f88943595dbdb0007ee7eb9;75-20-SP-SAO;1010.2020/0007932-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;15/04/2021;;;2023.10.09
5f88a77c883d070008292855;77-20-SP-SAO;1010.2020/0008500-2;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);Despacho indeferido;20/04/2021;;;2023.10.09
5f89a4e2a3f20a0008ce6af6;82-20-SP-SAO;1010.2020/0008496-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;27/06/2022;;;2023.10.09
5f89a4e2a3f20a0008ce6af6;82-20-SP-SAO;1010.2020/0008496-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;17/05/2023;;;2023.10.09
