id;n_processo;assunto;setor_atual;status;sistema
5f80737e4619fb00083265a9;1010.2020/0008082-5;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);SERVIN;deferido;Aprova Digital
5f8085d9a04f3d000873b83c;1010.2020/0007567-8;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;Aprova Digital
5f809b9ca10fa40008467e3f;1010.2020/0007931-2;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;Aprova Digital
5f80c43e25fe9f0008206e0e;1020.2020/0015996-5;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f80d5cf37e35200072da91e;1020.2020/0015995-7;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f80e88ca72d15000770838e;1020.2020/0015993-0;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f86177d29910c0007728e73;1010.2020/0008380-8;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f8617bc29910c0007728e76;1010.2020/0007924-0;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);COMIN;deferido;Aprova Digital
5f8637fa9156bb0008e6abba;1020.2020/0016003-3;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f864f0983194600089e7c26;1010.2020/0007829-4;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;indeferido;Aprova Digital
5f868c35ddb7380009d0455c;1010.2020/0008503-7;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);CAP;em análise;Aprova Digital
5f8739a68348fc0008efc7d3;1010.2020/0008690-4;Certificado de Acessibilidade;CONTRU;em análise;Aprova Digital
5f87404e44d566000817d1b4;1010.2020/0008651-3;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f87932507d83e00089dc55d;1010.2020/0008669-6;Alvará de Funcionamento de Local de Reunião;CONTRU;indeferido;Aprova Digital
5f883f019461e80008bef940;1020.2020/0014330-9;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;Aprova Digital
5f886f67e8300100085a7267;1020.2020/0014430-5;Alvará de Funcionamento de Local de Reunião;CONTRU;em análise;Aprova Digital
5f88891c4bd47b0008d0530e;1010.2020/0007827-8;Desmembramento para Secção em ZEIS;PARHIS;em análise;Aprova Digital
5f888ad74bd47b0008d05311;1010.2020/0007986-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f88943595dbdb0007ee7eb9;1010.2020/0007932-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;Aprova Digital
5f88965b95dbdb0007ee7ebc;1010.2020/0007930-4;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;Aprova Digital
5f88a77c883d070008292855;1010.2020/0008500-2;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);RESID;indeferido;Aprova Digital
5f89a4e2a3f20a0008ce6af6;1010.2020/0008496-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);RESID;deferido;Aprova Digital
5f89f175e1ea21000861be63;1010.2020/0008298-4;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;Aprova Digital
5f8a0b707430dd00080cbc44;1010.2020/0007943-6;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;Aprova Digital
5f8a20395fb2a300085542c6;1020.2020/0016005-0;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido;Aprova Digital
5f8dda938d64580008aefed3;1010.2020/0007987-8;Cadastro de Sistema Especial de Segurança;CONTRU;deferido;Aprova Digital
5f8de216b4b94100085cf304;1010.2020/0008303-4;Certificado de Acessibilidade;CONTRU;em análise;Aprova Digital
5f8de6af0c57a50008a2ba74;1020.2020/0014287-6;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;Aprova Digital
5f8dedf861aa040008b27d97;1010.2020/0007992-4;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f8deea861aa040008b27d9a;1010.2020/0008247-0;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);SERVIN;deferido;Aprova Digital
5f8e040d2757f30008b796c7;1010.2020/0008070-1;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);COMIN;em análise;Aprova Digital
5f8e791db2506600090aa4d8;1020.2020/0014282-5;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);RESID;indeferido e encerrado;Aprova Digital
5f8e98f4a6b09300083a9e99;1010.2020/0008656-4;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f8ee4f32c684f00083f35bd;1020.2020/0014313-9;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;em análise;Aprova Digital
5f8f13c60b30f600087b7107;1010.2020/0007933-9;Certificado de Acessibilidade;CONTRU;em análise;Aprova Digital
