n_protocolo;n_processo;data_comuniquese;coord_comuniquese;data_extracao
33924/2022;1020.2020/0003218-3;11/05/2023;GTEC;2024.07.02
33924/2022;1020.2020/0003218-3;17/02/2023;GTEC;2024.07.02
33981/2021;1020.2021/0011100-0;05/06/2024;GTEC;2024.07.02
34014/2021;1020.2021/0012072-6;07/06/2024;GTEC;2024.07.02
34256/2020;1020.2020/0012380-4;27/01/2023;GTEC;2024.07.02
34326/2021;1020.2021/0010922-6;24/04/2023;GTEC;2024.07.02
34958/2022;1020.2022/0018535-8;19/12/2023;GTEC;2024.07.02
34958/2022;1020.2022/0018535-8;21/11/2023;GTEC;2024.07.02
35117/2020;1020.2020/0005909-0;17/10/2022;GTEC;2024.07.02
35235/2021;1020.2021/0011750-4;07/06/2023;GTEC;2024.07.02
35235/2021;1020.2021/0011750-4;26/01/2023;GTEC;2024.07.02
3596/2021;1020.2021/0007259-4;07/03/2023;GTEC;2024.07.02
3596/2021;1020.2021/0007259-4;14/11/2022;GTEC;2024.07.02
36127/2021;1020.2021/0015885-5;16/08/2023;GTEC;2024.07.02
36162/2020;1020.2020/0003811-4;22/04/2024;GTEC;2024.07.02
36194/2023;1020.2022/0001904-0;27/06/2024;GTEC;2024.07.02
36219/2022;1020.2022/0014424-4;04/09/2023;GTEC;2024.07.02
36219/2022;1020.2022/0014424-4;27/11/2023;GTEC;2024.07.02
36337/2021;1020.2021/0011054-2;31/05/2023;GTEC;2024.07.02
36366/2021;1020.2021/0010923-4;27/01/2023;GTEC;2024.07.02
36589/2021;1020.2020/0003815-7;22/05/2023;GTEC;2024.07.02
36589/2021;1020.2020/0003815-7;24/03/2023;GTEC;2024.07.02
36636/2020;1020.2020/0012751-6;09/05/2024;GTEC;2024.07.02
36636/2020;1020.2020/0012751-6;14/03/2024;GTEC;2024.07.02
36702/2021;1020.2020/0003813-0;14/04/2023;GTEC;2024.07.02
36702/2021;1020.2020/0003813-0;22/05/2023;GTEC;2024.07.02
36702/2021;1020.2020/0003813-0;29/03/2023;GTEC;2024.07.02
36841/2021;1020.2021/0011943-4;29/05/2023;GTEC;2024.07.02
36856/2021;1020.2020/0004646-0;14/06/2023;GTEC;2024.07.02
36856/2021;1020.2020/0004646-0;18/09/2023;GTEC;2024.07.02
36856/2021;1020.2020/0004646-0;19/04/2023;GTEC;2024.07.02
37225/2020;1020.2020/0005386-5;05/12/2022;GTEC;2024.07.02
37547/2022;1020.2022/0021657-1;06/05/2024;GTEC;2024.07.02
37666/2021;1020.2020/0004643-5;02/05/2023;GTEC;2024.07.02
38535/2021;1020.2020/0004799-7;27/04/2023;GTEC;2024.07.02
38648/2021;1020.2020/0003412-7;31/03/2023;GTEC;2024.07.02
38680/2020;1020.2020/0002685-0;20/01/2023;GTEC;2024.07.02
39026/2020;1020.2020/0006804-8;26/10/2022;GTEC;2024.07.02
39026/2020;1020.2020/0006804-8;30/01/2023;GTEC;2024.07.02
39131/2023;1020.2022/0003034-6;19/01/2024;GTEC;2024.07.02
39171/2021;1020.2021/0013344-5;09/02/2024;GTEC;2024.07.02
39319/2021;1020.2021/0012571-0;08/11/2022;GTEC;2024.07.02
39319/2021;1020.2021/0012571-0;24/11/2022;GTEC;2024.07.02
39371/2021;1020.2020/0004262-6;19/04/2023;GTEC;2024.07.02
39600/2020;1020.2020/0009121-0;01/06/2023;GTEC;2024.07.02
39945/2020;1020.2020/0002664-7;06/12/2022;GTEC;2024.07.02
39945/2020;1020.2020/0002664-7;10/02/2023;GTEC;2024.07.02
39956/2021;1020.2021/0012969-3;17/03/2023;GTEC;2024.07.02
39956/2021;1020.2021/0012969-3;25/05/2023;GTEC;2024.07.02
40639/2020;1020.2020/0005016-5;24/02/2023;GTEC;2024.07.02
40646/2020;1020.2020/0005907-3;17/10/2022;GTEC;2024.07.02
