processo,sql_incra
1020.2022/0008821-2,02708700235
1020.2022/0008821-2,02708700170
1020.2022/0008823-9,08304300516
1020.2022/0013608-0,02106300956
1020.2022/0013807-4,04510100922
1020.2022/0012942-3,09005101148
1020.2022/0013974-7,07007200559
1020.2022/0013966-6,12106801393
1020.2022/0013811-2,02206000709
1020.2022/0014355-8,29903300350
1020.2022/0014355-8,29903300131
1020.2022/0014447-3,03706400901
1020.2022/0014455-4,03006400577
1020.2022/0010645-8,08012600676
1020.2022/0013165-7,05520600333
1020.2022/0014328-0,12314100599
1020.2022/0013871-6,07428301092
1020.2022/0017466-6,06612800186
1020.2022/0016191-2,08952600053
1020.2022/0012646-7,09310300213
1020.2022/0012945-8,04216500064
1020.2022/0018959-0,01003100686
1020.2022/0018029-1,06722501434
1020.2021/0001863-8,08005000669
1020.2023/0014258-8,10205700194
1020.2020/0012147-0,12601300131
1020.2020/0015172-7,07844700343
1020.2021/0001941-3,18812802639
1020.2020/0011817-7,06910600568
1020.2020/0008449-3,18103402159
1020.2020/0006385-2,01801701377
1020.2020/0008277-6,13105400027
1020.2021/0010431-3,18905600688
1020.2020/0011739-1,18905600742
1020.2021/0003739-0,13633300421
1020.2020/0001131-3,04945500861
1020.2021/0005494-4,16512000519
1020.2023/0012475-0,05816800582
1020.2020/0013219-6,05702900626
1020.2020/0013129-7,11518300684
1020.2020/0003624-3,11716900181
1020.2020/0001841-5,12708300848
1020.2021/0007157-1,11105300438
1020.2021/0003563-0,30608501228
1020.2020/0003616-2,11232800073
1020.2020/0006174-4,11108600203
1020.2020/0007834-5,08929700144
1020.2021/0007281-0,01204300275
1020.2020/0001704-4,07977000172
1020.2021/0002034-9,21400700378
1020.2021/0011450-5,11726902063
1020.2021/0001340-7,05729100035
1020.2021/0002833-1,14215400911
1020.2020/0012011-2,04214100077
1020.2021/0013124-8,03400600407
1020.2021/0014331-9,13903008299
1020.2021/0015117-6,13010600479
1020.2020/0000982-3,13516500351
1020.2022/0001758-7,04213004848
1020.2022/0001236-4,29911000123
1020.2022/0005763-5,07039402424
1020.2020/0000681-6,15519500532
1020.2021/0019533-5,13935800168
1020.2020/0013214-5,16832100190
1020.2022/0004784-2,05226300484
1020.2022/0002514-8,06705601132
1020.2022/0004627-7,08947400696
1020.2022/0006790-8,16507100322
1020.2022/0010690-3,14102401090
1020.2022/0002079-0,07606100977
1020.2022/0005083-5,11836800036
1020.2022/0006235-3,04813600689
1020.2022/0005182-3,05610800056
1020.2022/0005486-5,12315500183
1020.2022/0005652-3,11026400138
1020.2022/0008101-3,17110900060
1020.2022/0005812-7,19800100082
1020.2022/0007797-0,06404900440
1020.2022/0007996-5,14731200422
1020.2022/0008131-5,06212400156
1020.2022/0008195-1,01500902748
1020.2022/0008279-6,08558902186
1020.2022/0007874-8,11934800200
1020.2022/0005655-8,01112700048
1020.2022/0006968-4,07203900071
1020.2022/0010106-5,07521200373
1020.2022/0008243-5,20307400393
1020.2022/0008708-9,29915300083
1020.2020/0013375-3,18811501491
1020.2022/0010543-5,08108000130
1020.2022/0011396-9,04709701091
1020.2022/0013582-2,14727400188
1020.2022/0012337-9,05518200064
1020.2022/0011260-1,13109600802
1020.2022/0012639-4,07519900851
1020.2022/0011259-8,25201500021
1020.2022/0012955-5,08956901511
1020.2022/0013503-2,17305700273
1020.2022/0014197-0,08709600280
1020.2022/0015930-6,17125814599
1020.2022/0015871-7,09712600610
1020.2020/0001302-2,05301400592
1020.2022/0012736-6,01407500732
1020.2022/0019277-0,01406106518
1020.2022/0018063-1,04202000511
1020.2022/0021422-6,02107500606
1020.2022/0020356-9,10134300253
1020.2022/0020882-0,00508700191
1020.2022/0020760-2,08100501386
1020.2022/0019984-7,09101800736
1020.2023/0001062-2,13425900195
1020.2022/0021486-2,29906106806
1020.2022/0022320-9,03010302142
1020.2022/0022497-3,08241900333
1020.2022/0021682-2,08540800071
1020.2022/0021723-3,08108001404
1020.2022/0023635-1,04126600264
1020.2023/0001232-3,02107200041
1020.2023/0000632-3,01604803770
1020.2023/0001380-0,01604605677
1020.2023/0000006-6,30400100824
1020.2022/0023811-7,11608800600
1020.2023/0001577-2,18311002699
1020.2021/0006337-4,13111200387
1020.2023/0000361-8,01612305520
1020.2023/0003269-3,08565300765
1020.2023/0000398-7,07301600305
1020.2023/0005429-8,11423900293
1020.2023/0011869-5,04211900277
1020.2023/0017090-5,04200700301
1020.2020/0001313-8,00506700135
1020.2023/0009219-0,11636400281
1020.2020/0004601-0,08552000598
1020.2021/0007508-9,09306701152
1020.2021/0006313-7,00000000009
1020.2020/0013714-7,04943500242
1020.2021/0000986-8,06810300600
1020.2023/0016159-0,10132400307
1020.2020/0015366-5,13714200109
1020.2023/0015885-9,07821900311
1020.2020/0006128-0,00800701763
1020.2020/0004603-6,00907406610
1020.2021/0004131-1,11728601044
1020.2021/0006200-9,08122900410
1020.2020/0012947-0,30413200121
1020.2021/0014025-5,10741401656
1020.2020/0006919-2,19900800450
1020.2020/0007487-0,10901202524
1020.2021/0004223-7,09805300552
1020.2020/0011180-6,12626701245
1020.2021/0005119-8,03213200077
1020.2020/0014364-3,05122700540
1020.2020/0008644-5,08422000199
1020.2020/0006347-0,16816900382
1020.2020/0012037-6,02702700683
1020.2020/0004725-3,29903911988
1020.2023/0015919-7,08014200209
