sistema,processo,protocolo,codigoAssuntoObra,situacaoDespacho,unidade,dtEmissaoDespacho,dtPublicacaoDespacho,dt_inclusao
AprovaDigital,1020.2023/0004391-1,25858-23-SP-ERB,63fd00657fc6b40008cf78d3,NULL,SMUL/CAP,2023-03-15,2023-03-15,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003790-3,25859-23-SP-ERB,63fd00f59c8eac00087f2e5b,NULL,SMUL/CAP/DEPROT,2023-03-04,2023-03-04,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003235-9,25861-23-SP-ALV,63fd0ae7accbf6000866adc0,NULL,SMUL/PARHIS/DHIS,2023-05-09,2023-05-09,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003235-9,25861-23-SP-ALV,63fd0ae7accbf6000866adc0,NULL,SMUL/PARHIS/DHIS,2023-05-09,2023-05-09,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003784-9,25865-23-SP-ALV,63fd0e1b2e566a000888faa6,NULL,SMUL/RESID/DRGP,2023-08-14,2023-08-14,2023-08-31 14:46:00
AprovaDigital,1020.2023/0006872-8,25866-23-SP-ERB,63fd10a31d3b310009803888,NULL,SMUL/CAP,2023-04-18,2023-04-18,2023-08-31 14:46:00
AprovaDigital,1020.2023/0004387-3,25875-23-SP-AUT,63fdf27514d0f80008a8e805,NULL,SMUL/CAP,2023-03-15,2023-03-15,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003644-3,25879-23-SP-CCE,63fe03a764314800081218ae,NULL,SMUL/RESID/DRU,2023-07-11,2023-07-11,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003351-7,25880-23-SP-ALV,63fe0b35ee61c200083de4f3,NULL,SMUL/PARHIS/DHIS,2023-05-17,2023-05-17,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015821-7,645-20-SP-SAO,5fd3b3281152ee0008d03022,NULL,SMUL/PARHIS,2021-08-04,2021-08-04,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015545-5,648-20-SP-NEW,5fd3c39ecc5a3c0008c91c59,NULL,SMUL/CONTRU/DINS,2022-05-18,2022-05-18,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015733-4,650-20-SP-SAO,5fd3c69730753f000964f6e5,NULL,SMUL/RESID/DRGP,2022-05-18,2022-05-18,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015560-9,652-20-SP-NEW,5fd3ccb538bfcf00084a5cac,NULL,SMUL/CONTRU/ DSUS,2021-04-06,2021-04-06,2023-08-31 14:46:00
