id;np;cod_valid;template;text_button;link
63d97b3eee07460008b71ae3;25031-23-SP-ALV;tsxb4aee;SaopauloSP/alvara_aprovacao_edificacao_nova_v4.html;Alvará;https://api.producao-sp.portaldolicenciamentosp.com.br/events/regrasPdf/print/63d97b3eee07460008b71ae3?template=SaopauloSP/alvara_aprovacao_edificacao_nova_v4.html&function=processComplete&type=url&validLink=https://www.portaldolicenciamentosp.com.br/consulta/process/view/saopaulosp/25031-23-SP-ALV/tsxb4aee&title=Alvará&devolverDados=false
63dbcd8e72bd4f00082bc833;25058-23-SP-ALV;lt7ou3fi;SaopauloSP/alvara_aprovacao_edificacao_nova_v4.html;Alvará;https://api.producao-sp.portaldolicenciamentosp.com.br/events/regrasPdf/print/63dbcd8e72bd4f00082bc833?template=SaopauloSP/alvara_aprovacao_edificacao_nova_v4.html&function=processComplete&type=url&validLink=https://www.portaldolicenciamentosp.com.br/consulta/process/view/saopaulosp/25058-23-SP-ALV/lt7ou3fi&title=Alvará&devolverDados=false
63dbe31f6f2ca4000844adfe;25071-23-SP-ALV;nrel41sc;SaopauloSP/alvara_aprovacao_edificacao_nova_v4.html;Alvará;https://api.producao-sp.portaldolicenciamentosp.com.br/events/regrasPdf/print/63dbe31f6f2ca4000844adfe?template=SaopauloSP/alvara_aprovacao_edificacao_nova_v4.html&function=processComplete&type=url&validLink=https://www.portaldolicenciamentosp.com.br/consulta/process/view/saopaulosp/25071-23-SP-ALV/nrel41sc&title=Alvará&devolverDados=false
642b074dd88cb6000862fa41;27124-23-SP-AUT;ncbnac2m;SaopauloSP/alvara_tapume.html;Alvará;https://api.producao-sp.portaldolicenciamentosp.com.br/events/regrasPdf/print/642b074dd88cb6000862fa41?template=SaopauloSP/alvara_tapume.html&function=processComplete&type=url&validLink=https://www.portaldolicenciamentosp.com.br/consulta/process/view/saopaulosp/27124-23-SP-AUT/ncbnac2m&title=Alvará&devolverDados=false
6449752d9ddded000831201d;27962-23-SP-ALV;rdm5b1zo;SaopauloSP/alvara_execucao_edificacao_nova_v4.html;Alvará;https://api.producao-sp.portaldolicenciamentosp.com.br/events/regrasPdf/print/6449752d9ddded000831201d?template=SaopauloSP/alvara_execucao_edificacao_nova_v4.html&function=processComplete&type=url&validLink=https://www.portaldolicenciamentosp.com.br/consulta/process/view/saopaulosp/27962-23-SP-ALV/rdm5b1zo&title=Alvará&devolverDados=false
644ad38d7c3ae800083c63b3;28022-23-SP-AUT;l61cfa10;SaopauloSP/alvara_estande_vendas.html;Alvará de Autorização;https://api.producao-sp.portaldolicenciamentosp.com.br/events/regrasPdf/print/644ad38d7c3ae800083c63b3?template=SaopauloSP/alvara_estande_vendas.html&function=processComplete&type=url&validLink=https://www.portaldolicenciamentosp.com.br/consulta/process/view/saopaulosp/28022-23-SP-AUT/l61cfa10&title=Alvará de Autorização&devolverDados=false
64550c9a8f6cd00008b4b621;28247-23-SP-AUT;ps5by0nn;SaopauloSP/alvara_estande_vendas.html;Alvará de Autorização;https://api.producao-sp.portaldolicenciamentosp.com.br/events/regrasPdf/print/64550c9a8f6cd00008b4b621?template=SaopauloSP/alvara_estande_vendas.html&function=processComplete&type=url&validLink=https://www.portaldolicenciamentosp.com.br/consulta/process/view/saopaulosp/28247-23-SP-AUT/ps5by0nn&title=Alvará de Autorização&devolverDados=false
6463d840c68a3300083794f9;28608-23-SP-AUT;p74g76ku;SaopauloSP/avanco_grua.html;Alvará de Autorização;https://api.producao-sp.portaldolicenciamentosp.com.br/events/regrasPdf/print/6463d840c68a3300083794f9?template=SaopauloSP/avanco_grua.html&function=processComplete&type=url&validLink=https://www.portaldolicenciamentosp.com.br/consulta/process/view/saopaulosp/28608-23-SP-AUT/p74g76ku&title=Alvará de Autorização&devolverDados=false
64887c61f8565a00081fb1e3;29646-23-SP-AUT;uqfphxok;SaopauloSP/alvara_estande_vendas.html;Alvará de Autorização;https://api.producao-sp.portaldolicenciamentosp.com.br/events/regrasPdf/print/64887c61f8565a00081fb1e3?template=SaopauloSP/alvara_estande_vendas.html&function=processComplete&type=url&validLink=https://www.portaldolicenciamentosp.com.br/consulta/process/view/saopaulosp/29646-23-SP-AUT/uqfphxok&title=Alvará de Autorização&devolverDados=false
6495f9c16ae85800081c5107;30077-23-SP-AUT;umz704mf;SaopauloSP/alvara_estande_vendas.html;Alvará de Autorização;https://api.producao-sp.portaldolicenciamentosp.com.br/events/regrasPdf/print/6495f9c16ae85800081c5107?template=SaopauloSP/alvara_estande_vendas.html&function=processComplete&type=url&validLink=https://www.portaldolicenciamentosp.com.br/consulta/process/view/saopaulosp/30077-23-SP-AUT/umz704mf&title=Alvará de Autorização&devolverDados=false
