n_protocolo;n_processo;data_comuniquese;coord_comuniquese;data_extracao
10500/2022;1020.2020/0004263-4;17/08/2023;GTEC;2024.06.03
10500/2022;1020.2020/0004263-4;27/06/2023;GTEC;2024.06.03
10555/2023;1020.2020/0012380-4;11/10/2023;GTEC;2024.06.03
11162/2022;1020.2022/0004278-6;06/11/2023;GTEC;2024.06.03
11162/2022;1020.2022/0004278-6;15/03/2024;GTEC;2024.06.03
11343/2022;1020.2022/0006088-1;13/05/2024;GTEC;2024.06.03
11343/2022;1020.2022/0006088-1;21/03/2024;GTEC;2024.06.03
11817/2020;1020.2020/0008542-2;01/06/2023;GTEC;2024.06.03
11817/2020;1020.2020/0008542-2;03/01/2024;GTEC;2024.06.03
11817/2020;1020.2020/0008542-2;04/08/2023;GTEC;2024.06.03
11817/2020;1020.2020/0008542-2;28/09/2023;GTEC;2024.06.03
12220/2021;1020.2021/0006907-0;04/04/2024;GTEC;2024.06.03
12220/2021;1020.2021/0006907-0;13/05/2024;GTEC;2024.06.03
12678/2021;1020.2021/0002916-8;28/07/2023;GTEC;2024.06.03
12691/2022;1020.2022/0003759-6;07/12/2022;GTEC;2024.06.03
12691/2022;1020.2022/0003759-6;11/01/2023;GTEC;2024.06.03
12691/2022;1020.2022/0003759-6;26/05/2023;GTEC;2024.06.03
137/2023;1020.2020/0012017-1;06/09/2023;GTEC;2024.06.03
137/2023;1020.2020/0012017-1;10/11/2023;GTEC;2024.06.03
137/2023;1020.2020/0012017-1;15/01/2024;GTEC;2024.06.03
137/2023;1020.2020/0012017-1;22/06/2023;GTEC;2024.06.03
13721/2021;1020.2021/0006911-9;03/05/2024;GTEC;2024.06.03
1381/2020;1020.2020/0000733-2;07/06/2023;GTEC;2024.06.03
1381/2020;1020.2020/0000733-2;19/07/2023;GTEC;2024.06.03
13939/2022;1020.2022/0005313-3;21/02/2024;GTEC;2024.06.03
14066/2022;1020.2020/0004642-7;09/05/2024;GTEC;2024.06.03
14066/2022;1020.2020/0004642-7;13/03/2024;GTEC;2024.06.03
14239/2020;1020.2020/0005905-7;18/10/2022;GTEC;2024.06.03
14316/2021;1020.2021/0004372-1;16/06/2023;GTEC;2024.06.03
