veiculo;orgao;unidade;serie;processo;documento;data
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2021/0015175-3;79159907;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0002289-2;79097065;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003318-5;79117382;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003276-6;79107248;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003286-3;79123378;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0001559-4;79170689;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0000588-0;79094883;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003289-8;79111358;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003297-9;79117064;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003316-9;79116594;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2021/0011149-2;79122059;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2021/0016733-1;79133253;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0008396-2;79133263;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0017914-5;79132181;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0002290-6;79097085;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0001531-4;79170607;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0000205-9;79165130;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2021/0015565-1;79169239;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0007736-9;79170861;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0003103-2;79166693;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0010609-1;79094978;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0013524-5;79121381;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0010010-7;79170423;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0019151-8;79163215;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0021791-8;79166482;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0007397-5;79170067;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0016644-2;79170310;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0010766-7;79161636;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0002115-0;79159802;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0021271-1;79168933;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0017304-0;79159845;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0010716-9;79158088;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0002127-6;79159714;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0023095-7;79144341;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0013974-5;79154228;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0012988-1;79154466;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0007437-8;79151105;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0013174-6;79159980;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0018848-7;79163080;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0012925-3;79090357;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2020/0015980-9;79147584;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0022231-8;79090481;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0000722-0;79088467;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0023288-7;79149020;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0012313-1;79114978;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0013371-4;79126411;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0012996-2;79147455;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0000505-0;79142502;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0015261-1;79142259;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0003788-0;79120155;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0014091-5;79127401;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0005884-2;79125021;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0019197-8;79127718;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0009325-9;79127486;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0000483-3;79126625;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0012610-6;79149112;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0003092-3;79148824;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0010205-3;79114613;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0012919-9;79131835;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0022588-0;79136790;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0001328-0;79151331;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0009397-6;79138518;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0000421-3;79137732;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0001877-0;79115922;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0018892-4;79161145;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0008245-1;79096506;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0006485-0;79137222;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0003940-6;79129682;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0013095-2;79128687;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0009460-3;79127780;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0001738-4;79137403;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0001452-9;79155627;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0005371-0;79161620;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0024040-5;79169017;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0018203-0;79167588;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0021323-8;79162386;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0022659-3;79162342;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0020568-5;79167944;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0006764-9;79143134;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0018023-0;79156370;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0016258-7;79136907;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0019206-0;79136137;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0011752-2;79093796;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0001273-0;79144370;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0000417-5;79168376;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0021087-5;79131172;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0001885-0;79107382;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0005743-9;79166578;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0020988-5;79156323;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0016259-5;79152387;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0001598-5;79092843;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0019201-0;79127420;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0022445-0;79158132;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0000032-5;79088314;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0001506-1;79169599;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0011603-6;79164760;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0023155-4;79166044;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0022442-6;79156576;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0021989-9;79160283;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0000857-1;79129219;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0001111-2;79111911;01/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0021195-2;79165049;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003380-0;79180502;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003379-7;79180467;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2021/0007777-4;79229874;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003404-1;79180754;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0023156-2;79230321;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003424-6;79194195;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1010.2020/0008518-5;79215233;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003400-9;79180717;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003406-8;79180434;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0024106-1;79204134;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0000347-0;79231799;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0008056-4;79228634;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0014966-1;79239162;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0001054-1;79234376;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0021338-6;79200898;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003395-9;79180692;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0002499-2;79232010;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003383-5;79180546;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0020131-0;79215808;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0023580-0;79219364;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003390-8;79180622;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2021/0011346-0;79230017;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0000043-9;79230388;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2021/0012204-4;79197283;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2021/0019468-1;79215626;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2021/0006286-6;79215357;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2021/0011894-2;79215557;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0020812-9;79229645;02/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0000215-6;79241224;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0024117-7;79192955;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0024250-5;79216982;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0012684-0;79186337;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0002285-8;79227944;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0023418-9;79225634;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0019394-6;79225037;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0023650-5;79190781;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0024319-6;79218949;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0024110-0;79234827;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0022959-2;79217118;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0016687-6;79214777;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0002528-8;79215909;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0019079-1;79223905;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0010976-7;79190639;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0002545-0;79205192;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0007635-4;79194841;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0010233-7;79173337;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0001375-1;79186205;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0002368-4;79216225;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0013523-7;79186099;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0001544-6;79212801;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0022655-0;79210373;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0010761-4;79205447;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0018493-9;79205494;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0009738-6;79226006;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0002115-9;79174492;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0023951-2;79197824;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0003776-6;79228151;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0024111-8;79203101;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0002206-8;79206549;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0000425-8;79220586;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0014221-7;79219461;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0017540-9;79240690;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0024115-0;79204459;02/03/2023
D - Editais;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0020443-3;79236418;02/03/2023
