processo;despacho;contagem_dom;contagem_dispatched
1020.2022/0018358-4;deferido;2;correto
1020.2022/0001217-8;deferido;2;correto
1020.2021/0006301-3;deferido;2;correto
1020.2022/0015286-7;deferido;2;correto
1020.2023/0006127-8;deferido;2;correto
1020.2023/0000176-3;deferido;2;correto
1020.2023/0006154-5;deferido;2;correto
1020.2021/0019323-5;deferido;2;correto
1020.2023/0007785-9;deferido;2;correto
1020.2022/0011310-1;deferido;2;correto
1020.2022/0012279-8;deferido;2;correto
1020.2020/0015146-8;deferido;2;1
1020.2022/0011297-0;deferido;2;correto
1020.2022/0020455-7;deferido;2;correto
1020.2022/0020453-0;deferido;2;correto
1020.2022/0020834-0;deferido;2;correto
1020.2022/0020270-8;deferido;2;correto
1020.2022/0020278-3;deferido;2;correto
1020.2022/0020274-0;deferido;2;correto
1020.2022/0020291-0;deferido;2;correto
1020.2021/0009244-7;deferido;2;correto
1020.2022/0020244-9;deferido;2;correto
1020.2022/0002272-6;deferido;2;correto
1020.2022/0020285-6;deferido;2;correto
1020.2022/0020293-7;deferido;2;correto
1020.2021/0009227-7;deferido;2;1
1020.2022/0010667-9;deferido;2;correto
1020.2022/0019933-2;deferido;2;correto
1020.2022/0020306-2;deferido;2;correto
1020.2020/0014284-1;deferido;2;correto
1020.2020/0014346-5;deferido;2;correto
1020.2020/0014426-7;deferido;2;correto
1020.2022/0016708-2;deferido;2;correto
1020.2022/0016706-6;deferido;2;correto
1020.2020/0014543-3;deferido;2;correto
1020.2022/0012073-6;deferido;2;correto
1020.2020/0014344-9;deferido;2;correto
1020.2023/0016790-4;deferido;2;correto
1020.2022/0011114-1;deferido;2;correto
1020.2022/0020823-4;deferido;2;correto
1020.2020/0014307-4;deferido;2;correto
1020.2022/0010917-1;deferido;2;1
1020.2022/0020824-2;deferido;2;correto
1020.2022/0020825-0;deferido;2;correto
1020.2021/0009587-0;deferido;2;correto
1020.2021/0009902-6;deferido;2;correto
1020.2022/0020484-0;deferido;2;correto
1020.2022/0016128-9;deferido;2;correto
1020.2022/0016126-2;deferido;2;1
1020.2020/0015403-3;deferido;2;correto
1020.2022/0002972-0;deferido;2;correto
1020.2022/0020131-0;deferido;2;1
1020.2022/0004258-1;deferido;2;correto
1020.2021/0009255-2;deferido;2;correto
1020.2021/0010255-8;deferido;2;correto
1010.2020/0007924-0;deferido;2;correto
1020.2021/0015959-2;deferido;2;1
1020.2021/0017228-9;deferido;2;correto
1020.2021/0015845-6;deferido;2;correto
1020.2022/0020142-6;deferido;2;correto
1020.2021/0018085-0;deferido;2;correto
1020.2023/0002882-3;deferido;2;correto
1010.2020/0007931-2;deferido;2;1
1010.2020/0007034-0;deferido;2;1
1020.2022/0016625-6;deferido;2;correto
1020.2022/0019312-1;deferido;2;correto
1010.2020/0007987-8;deferido;2;correto
1020.2021/0008436-3;deferido;2;correto
1010.2020/0008298-4;deferido;2;correto
1020.2022/0016692-2;deferido;1;correto
1020.2022/0017925-0;deferido;1;correto
1020.2022/0017585-9;deferido;1;correto
1020.2022/0017538-7;deferido;1;correto
1020.2022/0017537-9;deferido;1;correto
1020.2022/0017586-7;deferido;1;correto
1020.2022/0016701-5;deferido;1;correto
1020.2022/0017541-7;deferido;1;correto
