n_protocolo;n_processo;despacho;data_despacho;coord_despacho;data_extracao
21031/2022;1020.2021/0011946-9;Despacho de Deferimento Comum;08/06/2022;GTEC;2024.08.02
21113/2023;1020.2022/0003738-3;Despacho de Deferimento Comum;02/01/2024;GTEC;2024.08.02
21113/2023;1020.2022/0003738-3;Despacho de Deferimento Comum;06/12/2023;GTEC;2024.08.02
21125/2021;1020.2020/0000951-3;Despacho de Deferimento Comum;30/04/2024;GTEC;2024.08.02
21577/2023;1020.2020/0015001-1;Despacho de Deferimento Comum;21/09/2023;GTEC;2024.08.02
21636/2021;1020.2020/0001540-8;Despacho de Indeferimento Comum;29/12/2021;GTEC;2024.08.02
21809/2022;1020.2022/0006634-0;Despacho de Indeferimento Comum;06/06/2022;GTEC;2024.08.02
21950/2021;1020.2020/0001656-0;Despacho de Deferimento Comum;03/10/2022;GTEC;2024.08.02
21970/2021;1020.2020/0002070-3;Despacho de Indeferimento Comum;11/11/2021;GTEC;2024.08.02
22101/2021;1020.2020/0000371-0;Despacho de Deferimento Comum;04/02/2022;GTEC;2024.08.02
22514/2021;1020.2020/0004867-5;Despacho de Deferimento Comum;18/06/2021;GTEC;2024.08.02
22865/2021;1020.2020/0000957-2;Despacho de Deferimento Comum;18/01/2022;GTEC;2024.08.02
23084/2023;1020.2023/0011954-3;Despacho de Indeferimento Comum;12/09/2023;GTEC;2024.08.02
23101/2021;1020.2020/0012304-9;Despacho de Indeferimento Comum;03/05/2021;GTEC;2024.08.02
23146/2021;1020.2020/0001097-0;Despacho de Deferimento Comum;17/09/2021;GTEC;2024.08.02
23192/2021;1020.2020/0015926-4;Despacho de Deferimento Comum;17/05/2021;GTEC;2024.08.02
23250/2021;1020.2021/0005824-9;Despacho de Indeferimento Comum;27/12/2021;GTEC;2024.08.02
23253/2021;1020.2020/0002796-1;Despacho de Deferimento Comum;13/06/2022;GTEC;2024.08.02
23409/2021;1020.2020/0001918-7;Despacho de Indeferimento Comum;29/06/2021;GTEC;2024.08.02
23511/2022;1020.2020/0000518-6;Despacho de Deferimento Comum;03/10/2023;GTEC;2024.08.02
24127/2021;1020.2021/0006194-0;Despacho de Indeferimento Comum;27/12/2021;GTEC;2024.08.02
24205/2021;1020.2020/0000450-3;Despacho de Indeferimento Comum;15/02/2022;GTEC;2024.08.02
24413/2022;1020.2021/0002835-8;Despacho de Deferimento Comum;17/06/2022;GTEC;2024.08.02
24484/2021;1020.2021/0006280-7;Despacho de Indeferimento Comum;20/05/2021;GTEC;2024.08.02
24496/2021;1020.2020/0001919-5;Despacho de Deferimento Comum;29/11/2021;GTEC;2024.08.02
24506/2021;1020.2020/0001890-3;Despacho de Indeferimento Comum;18/01/2022;GTEC;2024.08.02
24642/2021;1020.2020/0000912-2;Despacho de Indeferimento Comum;13/08/2021;GTEC;2024.08.02
24677/2021;1020.2020/0000686-7;Despacho de Indeferimento Comum;11/11/2021;GTEC;2024.08.02
24808/2022;1020.2021/0014348-3;Despacho de Deferimento Comum;20/04/2023;GTEC;2024.08.02
24931/2021;1020.2020/0002877-1;Despacho de Deferimento Comum;03/12/2021;GTEC;2024.08.02
2500/2022;1020.2020/0001930-6;Despacho de Deferimento Comum;11/02/2022;GTEC;2024.08.02
25108/2021;1020.2020/0002543-8;Despacho de Deferimento Comum;14/03/2022;GTEC;2024.08.02
25258/2021;1020.2020/0000484-8;Despacho de Deferimento Comum;08/07/2021;GTEC;2024.08.02
25351/2021;6068.2020/0000008-2;Despacho de Deferimento Comum;23/12/2021;GTEC;2024.08.02
25481/2022;1020.2021/0001780-1;Despacho de Indeferimento Comum;13/09/2023;GTEC;2024.08.02
25674/2021;1020.2020/0001927-6;Despacho de Indeferimento Comum;30/12/2021;GTEC;2024.08.02
25859/2021;1020.2021/0006506-7;Despacho de Deferimento Comum;16/10/2023;GTEC;2024.08.02
25865/2021;6068.2020/0000002-3;Despacho de Deferimento Comum;08/10/2021;GTEC;2024.08.02
25867/2021;1020.2020/0009343-3;Despacho de Deferimento Comum;15/09/2022;GTEC;2024.08.02
25936/2021;1020.2020/0003403-8;Despacho de Deferimento Comum;08/12/2021;GTEC;2024.08.02
26100/2021;1020.2020/0000384-1;Despacho de Indeferimento Comum;02/08/2021;GTEC;2024.08.02
26218/2022;1020.2021/0002888-9;Despacho de Deferimento Comum;07/06/2022;GTEC;2024.08.02
26302/2021;1020.2020/0002839-9;Despacho de Deferimento Comum;02/08/2022;GTEC;2024.08.02
26423/2021;1020.2020/0001541-6;Despacho de Indeferimento Comum;17/12/2021;GTEC;2024.08.02
26567/2021;1020.2020/0000583-6;Despacho de Indeferimento Comum;29/06/2021;GTEC;2024.08.02
26598/2021;1020.2020/0005671-6;Despacho de Deferimento Comum;13/01/2022;GTEC;2024.08.02
26775/2021;1020.2020/0001599-8;Despacho de Deferimento Comum;15/12/2021;GTEC;2024.08.02
26807/2021;1020.2020/0002879-8;Despacho de Indeferimento Comum;24/08/2021;GTEC;2024.08.02
27022/2021;1020.2020/0006199-0;Despacho de Deferimento Comum;24/06/2022;GTEC;2024.08.02
27105/2021;1020.2020/0001648-0;Despacho de Deferimento Comum;20/04/2022;GTEC;2024.08.02
27216/2022;1020.2020/0009344-1;Despacho de Deferimento Comum;30/05/2022;GTEC;2024.08.02
27302/2021;1020.2020/0001217-4;Despacho de Indeferimento Comum;29/11/2021;GTEC;2024.08.02
27519/2021;1020.2020/0001916-0;Despacho de Indeferimento Comum;29/06/2021;GTEC;2024.08.02
2754/2021;1020.2020/0001077-5;Despacho de Indeferimento Comum;28/06/2021;GTEC;2024.08.02
27555/2021;1020.2020/0000274-8;Despacho de Deferimento Comum;29/05/2024;GTEC;2024.08.02
27559/2021;1020.2020/0015760-1;Despacho de Deferimento Comum;20/08/2021;GTEC;2024.08.02
27577/2023;1020.2020/0006080-2;Despacho de Deferimento Comum;05/07/2024;GTEC;2024.08.02
27736/2021;1020.2020/0001252-2;Despacho de Indeferimento Comum;02/09/2021;GTEC;2024.08.02
278/2022;1020.2020/0002661-2;Despacho de Deferimento Comum;05/07/2022;GTEC;2024.08.02
27905/2021;1020.2020/0011222-5;Despacho de Deferimento Comum;28/06/2021;GTEC;2024.08.02
27933/2021;1020.2020/0000347-7;Despacho de Deferimento Comum;19/11/2021;GTEC;2024.08.02
28188/2021;1020.2020/0000300-0;Despacho de Deferimento Comum;20/09/2023;GTEC;2024.08.02
28197/2021;1020.2020/0002422-9;Despacho de Deferimento Comum;14/03/2022;GTEC;2024.08.02
28379/2021;1020.2021/0008057-0;Despacho de Indeferimento Comum;27/12/2021;GTEC;2024.08.02
28409/2021;1020.2020/0001275-1;Despacho de Deferimento Comum;21/01/2022;GTEC;2024.08.02
28419/2021;1020.2020/0000971-8;Despacho de Indeferimento Comum;11/11/2021;GTEC;2024.08.02
2856/2021;1020.2020/0001016-3;Despacho de Indeferimento Comum;08/01/2022;GTEC;2024.08.02
28587/2021;1020.2020/0006200-7;Despacho de Deferimento Comum;26/01/2022;GTEC;2024.08.02
28602/2021;1020.2020/0001992-6;Despacho de Indeferimento Comum;29/12/2021;GTEC;2024.08.02
28621/2022;1020.2022/0009986-9;Despacho de Deferimento Comum;07/06/2022;GTEC;2024.08.02
28644/2021;1020.2020/0004062-3;Despacho de Deferimento Comum;07/07/2021;GTEC;2024.08.02
28660/2021;1020.2020/0006925-7;Despacho de Deferimento Comum;27/12/2021;GTEC;2024.08.02
28905/2021;1020.2020/0004453-0;Despacho de Deferimento Comum;29/12/2021;GTEC;2024.08.02
2899/2021;1020.2020/0000944-0;Despacho de Deferimento Comum;30/04/2021;GTEC;2024.08.02
29048/2021;1020.2020/0003478-0;Despacho de Deferimento Comum;01/09/2021;GTEC;2024.08.02
29265/2023;1020.2020/0004951-5;Despacho de Indeferimento Comum;18/09/2023;GTEC;2024.08.02
2935/2022;1020.2020/0003812-2;Despacho de Deferimento Comum;04/03/2022;GTEC;2024.08.02
29375/2021;1020.2020/0001655-2;Despacho de Deferimento Comum;05/08/2021;GTEC;2024.08.02
2950/2021;1020.2020/0001893-8;Despacho de Deferimento Comum;18/06/2021;GTEC;2024.08.02
29523/2021;1020.2020/0002047-9;Despacho de Deferimento Comum;25/08/2021;GTEC;2024.08.02
29613/2021;1020.2020/0003484-4;Despacho de Deferimento Comum;28/09/2022;GTEC;2024.08.02
29716/2021;1020.2020/0008330-6;Despacho de Deferimento Comum;06/06/2022;GTEC;2024.08.02
2973/2021;1020.2020/0011729-4;Despacho de Deferimento Comum;13/02/2021;GTEC;2024.08.02
29840/2021;1020.2020/0007226-6;Despacho de Deferimento Comum;30/08/2021;GTEC;2024.08.02
29846/2021;1020.2020/0001977-2;Despacho de Deferimento Comum;08/09/2021;GTEC;2024.08.02
29945/2023;1020.2023/0015106-4;Despacho de Indeferimento Comum;13/09/2023;GTEC;2024.08.02
30022/2021;1020.2021/0008503-3;Despacho de Deferimento Comum;29/06/2021;GTEC;2024.08.02
30071/2021;1020.2020/0000422-8;Despacho de Deferimento Comum;29/06/2022;GTEC;2024.08.02
