dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2012-12-26 11:44:37,2012-0.356.880-7,6749-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2012-12-28 15:13:13,2012-0.359.262-7,6852-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-01-09 12:06:05,2013-0.006.769-8,6569-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-01-10 12:02:34,2013-0.007.874-6,134-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-01-10 12:05:41,2013-0.007.897-5,142-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-01-12 12:13:24,2013-0.010.497-6,424-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-01-16 13:09:34,2013-0.013.843-9,104-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-01-18 13:55:26,2013-0.016.753-6,6980-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-01-18 13:57:06,2013-0.016.759-5,210-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-01-18 13:57:18,2013-0.016.761-7,363-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-01-18 13:57:33,2013-0.016.763-3,6365-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-01-18 13:57:33,2013-0.016.764-1,153-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
