dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2013-01-10 12:03:27,2013-0.007.882-7,6921-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-11 12:01:35,2013-0.009.472-5,6565-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-12 12:01:17,2013-0.010.436-4,311-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-12 12:11:59,2013-0.010.493-3,129-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-01-15 12:08:25,2013-0.012.421-7,6975-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-15 12:08:56,2013-0.012.426-8,6510-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-15 12:12:36,2013-0.012.438-1,6655-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-18 13:57:06,2013-0.016.760-9,552-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-19 14:37:53,2013-0.017.500-8,6886-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-19 14:38:13,2013-0.017.505-9,618-13,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-01-21 08:12:05,2013-0.017.548-2,3952-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-21 08:26:20,2013-0.017.564-4,5641-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-22 12:03:10,2013-0.019.874-1,6372-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-22 12:05:28,2013-0.019.901-2,401-13,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-01-23 13:09:56,2013-0.021.905-6,1101-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-23 13:41:46,2013-0.022.010-0,981-13,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-01-23 13:42:52,2013-0.022.021-6,6383-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-23 13:43:17,2013-0.022.030-5,6653-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-23 13:43:30,2013-0.022.031-3,6513-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-24 12:03:23,2013-0.023.389-0,6781-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-24 14:38:49,2013-0.023.706-2,402-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-25 12:00:47,2013-0.024.221-0,1195-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-01-29 12:00:48,2013-0.026.448-5,851-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-01-29 12:00:49,2013-0.026.449-3,914-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-02-04 14:40:55,2013-0.033.606-0,6697-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-02-04 14:55:08,2013-0.033.715-6,1707-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-02-05 12:07:05,2013-0.035.104-3,1342-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-02-05 12:09:57,2013-0.035.134-5,6593-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-02-15 09:38:08,2013-0.043.339-2,351-13,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-02-15 12:01:21,2013-0.043.772-0,2186-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-02-19 12:06:42,2013-0.046.925-7,1765-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-02-21 12:05:12,2013-0.050.528-8,2700-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-02-27 12:02:39,2013-0.056.792-5,1442-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-02-28 12:02:59,2013-0.058.501-0,3234-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-02-28 12:04:57,2013-0.058.521-4,2189-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-03-05 12:04:12,2013-0.063.112-7,3696-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-03-05 12:09:09,2013-0.063.164-0,2702-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-03-15 12:04:55,2013-0.074.895-4,4569-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-03-18 14:18:35,2013-0.076.574-3,2345-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-03-19 11:24:42,2013-0.077.588-9,3462-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-03-19 14:50:28,2013-0.078.270-2,4039-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-03-19 15:16:57,2013-0.078.365-2,4122-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-03-20 13:14:10,2013-0.079.553-7,4673-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-03-22 14:14:32,2013-0.083.153-3,4567-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-03-22 14:16:35,2013-0.083.174-6,5034-13,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-03-22 14:18:47,2013-0.083.194-0,5059-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-03-22 15:16:28,2013-0.083.353-6,5156-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-03-27 13:58:50,2013-0.086.467-9,3103-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-03-28 12:01:52,2013-0.088.608-7,4836-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-04-03 09:49:15,2013-0.093.534-7,5264-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-04-03 10:32:07,2013-0.093.710-2,4233-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-04-03 12:02:38,2013-0.094.178-9,4770-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-04-03 17:53:50,2013-0.095.298-5,2851-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-04-03 17:58:03,2013-0.095.303-5,2854-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-04-03 18:04:55,2013-0.095.315-9,2857-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-04-05 12:03:05,2013-0.097.531-4,4555-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-04-05 12:05:49,2013-0.097.561-6,5960-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-04-05 12:07:23,2013-0.097.580-2,6122-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-04-09 12:03:35,2013-0.100.339-1,5350-13,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-04-10 12:01:47,2013-0.102.018-0,4624-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-04-10 12:06:09,2013-0.102.037-7,6215-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-04-10 15:58:09,2013-0.102.678-2,1832-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-04-10 16:26:28,2013-0.102.787-8,6395-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Em Análise
2013-04-12 12:04:30,2013-0.105.066-7,6772-13,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-04-12 12:04:56,2013-0.105.068-3,6843-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Em Análise
2013-04-12 12:04:58,2013-0.105.069-1,6846-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-04-22 11:48:13,2013-0.114.065-8,7955-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-04-24 12:02:08,2013-0.117.367-0,6336-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
2013-04-24 13:33:25,2013-0.117.716-0,6364-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Em Análise
2013-04-26 16:50:27,2013-0.121.477-5,7847-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-04-27 12:02:54,2013-0.121.579-8,7607-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
2013-04-27 12:05:01,2013-0.121.594-1,8054-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-04-27 12:05:12,2013-0.121.595-0,8078-13,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-05-02 12:00:11,2013-0.125.151-4,7626-13,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
2013-05-07 12:04:50,2013-0.129.930-4,7329-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-05-07 13:14:04,2013-0.130.164-3,8001-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-05-07 15:21:06,2013-0.130.664-5,8270-13,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-05-09 12:07:10,2013-0.133.188-7,7337-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-05-14 12:01:20,2013-0.137.790-9,6086-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Em Análise
2013-05-14 12:06:10,2013-0.137.829-8,9045-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-05-16 12:05:03,2013-0.140.817-0,8076-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-05-16 13:39:18,2013-0.141.063-9,9078-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-05-17 12:15:51,2013-0.142.290-4,8093-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-05-24 12:03:39,2013-0.149.586-3,9634-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-05-25 12:04:09,2013-0.150.417-0,9502-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-06-07 12:02:09,2013-0.161.498-6,10514-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Em Análise
2013-06-13 15:20:55,2013-0.168.011-3,1690-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
2013-07-02 19:01:25,2013-0.187.541-0,11037-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-07-03 14:19:47,2013-0.188.793-1,12423-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-07-03 16:21:16,2013-0.189.159-9,10738-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-07-04 10:20:53,2013-0.189.686-8,11472-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Em Análise
2013-07-30 12:02:57,2013-0.214.092-9,13625-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-07-30 12:05:25,2013-0.214.102-0,14297-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-08-22 09:07:35,2013-0.239.027-5,15944-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-08-22 09:08:40,2013-0.239.031-3,10737-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-08-22 09:08:50,2013-0.239.033-0,12947-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-08-22 09:09:16,2013-0.239.038-0,13877-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-08-22 09:10:02,2013-0.239.042-9,13013-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-08-22 09:13:04,2013-0.239.061-5,14363-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-09-14 12:04:17,2013-0.268.005-2,17694-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-10-04 11:31:21,2013-0.294.753-9,20150-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-10-08 12:02:30,2013-0.298.875-8,19843-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-10-10 12:01:49,2013-0.302.611-9,18479-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-10-30 12:02:49,2013-0.322.393-3,17714-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2013-11-01 12:07:18,2013-0.325.651-3,23546-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Em Análise
2013-11-07 12:12:30,2013-0.332.079-3,22646-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
