dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2021-01-18 18:37:42,2021-0.000.495-2,715-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-18 18:57:04,2021-0.000.498-7,483-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-18 19:32:11,2021-0.000.507-0,916-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-18 20:59:05,2021-0.000.527-4,1063-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 10:28:50,2021-0.000.536-3,6201-23,Alvará de Execução de Demolição,Inicial,2º Recurso,SMUL,CAEPP,Em Análise
2021-01-19 11:49:47,2021-0.000.539-8,1104-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 13:19:40,2021-0.000.546-0,38372-20,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 18:26:58,2021-0.000.568-1,38462-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 18:40:40,2021-0.000.572-0,898-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 19:43:25,2021-0.000.590-8,1286-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 20:35:23,2021-0.000.603-3,1245-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 20:51:19,2021-0.000.604-1,1262-21,Alvará de Remembramento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 20:53:40,2021-0.000.606-8,1248-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-20 19:28:30,2021-0.000.654-8,1473-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Processando Despacho
2021-01-20 19:39:47,2021-0.000.656-4,698-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-21 20:14:29,2021-0.000.724-2,1233-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Processando Despacho
2021-01-21 20:32:13,2021-0.000.728-5,1528-21,Alvará de Reparcelamento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-21 20:53:27,2021-0.000.733-1,725-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-22 08:38:01,2021-0.000.734-0,33766-21,Alvará de Aprovação de Reforma,Inicial,1º Recurso,SMUL,CAEPP,Em Análise
2021-01-22 13:07:44,2021-0.000.747-1,1143-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-22 18:54:43,2021-0.000.757-9,38669-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-22 19:00:42,2021-0.000.758-7,35-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-22 19:34:58,2021-0.000.767-6,1665-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-22 20:20:36,2021-0.000.785-4,1736-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-22 20:35:54,2021-0.000.793-5,17991-22,Alvará de Aprovação de Reforma,Inicial,1º Recurso,SMUL,CAEPP,Em Análise
2021-01-22 20:59:51,2021-0.000.799-4,677-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-26 14:03:26,2021-0.000.813-3,1627-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-26 19:45:11,2021-0.000.830-3,1707-21,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-26 20:07:56,2021-0.000.835-4,1962-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-26 20:13:15,2021-0.000.836-2,1964-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-28 14:57:23,2021-0.000.866-4,38523-20,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-28 15:31:27,2021-0.000.875-3,1963-21,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-28 15:46:21,2021-0.000.877-0,2011-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-28 16:00:47,2021-0.000.880-0,2033-21,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-28 16:19:45,2021-0.000.883-4,2043-21,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-28 17:17:11,2021-0.000.892-3,37613-20,Alvará de Reparcelamento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-28 19:33:55,2021-0.000.902-4,1746-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-29 07:50:39,2021-0.000.905-9,1968-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-29 09:53:46,2021-0.000.912-1,2201-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-29 14:52:13,2021-0.000.922-9,2209-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-29 16:08:19,2021-0.000.932-6,2207-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-29 16:33:04,2021-0.000.933-4,32713-22,Alvará de Aprovação de Reforma,Inicial,1º Recurso,SMUL,CAEPP,Em Análise
2021-02-02 10:23:49,2021-0.000.974-1,2410-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-02 11:24:32,2021-0.000.976-8,17162-22,Alvará de Aprovação de Edificação Nova,Inicial,1º Recurso,SMUL,CAEPP,Em Análise
2021-02-02 11:41:45,2021-0.000.978-4,2269-21,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-02 11:45:42,2021-0.000.979-2,15706-23,Alvará de Aprovação de Edificação Nova,Inicial,1º Recurso,SMUL,CAEPP,Em Análise
2021-02-02 14:10:53,2021-0.000.985-7,2421-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-02 14:26:14,2021-0.000.987-3,955-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-02 17:21:55,2021-0.000.993-8,685-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-03 19:30:38,2021-0.001.013-8,34671-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-03 19:45:04,2021-0.001.016-2,39463-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-03 20:17:21,2021-0.001.023-5,1101-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-03 20:57:16,2021-0.001.035-9,2109-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-04 07:00:49,2021-0.001.036-7,19-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-04 10:29:59,2021-0.001.063-4,2465-21,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-04 13:05:45,2021-0.001.088-0,2850-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-04 14:58:41,2021-0.001.111-8,2835-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-04 16:12:47,2021-0.001.124-0,2478-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-04 17:54:24,2021-0.001.150-9,2895-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-04 18:39:05,2021-0.001.153-3,36382-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-04 19:56:31,2021-0.001.159-2,35484-22,Alvará de Aprovação de Edificação Nova,Inicial,1º Recurso,SMUL,CAEPP,Em Análise
2021-02-04 20:17:28,2021-0.001.163-0,18184-22,Alvará de Aprovação de Reforma,Inicial,1º Recurso,SMUL,CAEPP,Em Análise
2021-02-04 20:36:43,2021-0.001.168-1,2470-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-05 07:19:21,2021-0.001.179-7,3079-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-05 19:17:08,2021-0.001.245-9,2184-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-05 19:40:34,2021-0.001.255-6,3039-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-05 19:57:15,2021-0.001.258-0,3088-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-08 13:54:41,2021-0.001.332-3,2744-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-08 19:44:28,2021-0.001.351-0,2749-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-09 08:21:44,2021-0.001.367-6,3229-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-09 10:19:49,2021-0.001.370-6,315-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-09 13:03:24,2021-0.001.390-0,3616-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-09 20:28:46,2021-0.001.438-9,3625-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-02-10 08:15:22,2021-0.001.450-8,3642-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
