dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2012-11-22 18:17:14,2012-0.327.867-1,1744-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-22 18:22:17,2012-0.327.910-4,3173-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-22 18:31:21,2012-0.327.966-0,3066-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-22 18:39:04,2012-0.328.002-1,2724-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-22 18:40:05,2012-0.328.006-4,3101-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-22 18:41:55,2012-0.328.019-6,3700-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-22 18:42:17,2012-0.328.020-0,2698-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-23 12:00:41,2012-0.328.449-3,3044-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-23 12:02:13,2012-0.328.471-0,3437-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-23 12:03:21,2012-0.328.487-6,3754-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-23 12:03:32,2012-0.328.489-2,3764-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-23 12:06:27,2012-0.328.507-4,3965-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-24 12:01:51,2012-0.329.335-2,3218-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-27 12:02:56,2012-0.331.250-0,4233-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-27 12:03:39,2012-0.331.257-8,3870-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-28 13:05:54,2012-0.332.743-5,1646-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-28 13:06:23,2012-0.332.747-8,4355-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-28 13:42:20,2012-0.332.898-9,4223-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-29 12:05:13,2012-0.334.232-9,4358-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-29 12:07:23,2012-0.334.251-5,4230-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-04 12:06:32,2012-0.338.011-5,4160-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-04 12:06:46,2012-0.338.013-1,3868-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-04 12:09:06,2012-0.338.043-3,3964-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-12-04 12:09:42,2012-0.338.049-2,4728-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-04 12:10:55,2012-0.338.064-6,4652-12,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,RESID,Indeferido
2012-12-04 12:11:39,2012-0.338.070-0,4342-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-04 12:12:40,2012-0.338.076-0,4564-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-04 17:33:48,2012-0.338.959-7,4915-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-05 12:02:15,2012-0.339.610-0,4043-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-05 14:46:19,2012-0.340.020-5,3059-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-06 12:03:36,2012-0.340.951-2,4661-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-06 12:08:32,2012-0.340.982-2,4447-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-12-06 12:13:43,2012-0.341.009-0,4744-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-07 12:16:10,2012-0.342.475-9,5146-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-12-08 12:01:18,2012-0.343.236-0,4870-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-08 12:04:20,2012-0.343.263-8,5081-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-11 12:00:55,2012-0.344.936-0,3264-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-12-11 12:01:23,2012-0.344.938-7,4365-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-11 12:04:28,2012-0.344.972-7,4528-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-13 12:06:16,2012-0.347.751-8,5457-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-13 12:07:21,2012-0.347.762-3,5628-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-12-13 12:09:03,2012-0.347.767-4,5087-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-12-17 11:28:59,2012-0.350.327-6,6114-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-12-18 12:09:20,2012-0.351.740-4,5590-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-12-18 12:30:57,2012-0.351.836-2,5653-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-18 22:06:02,2012-0.352.566-0,5542-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-12-19 12:14:15,2012-0.353.054-0,5998-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-19 12:14:47,2012-0.353.058-3,4945-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-19 12:15:03,2012-0.353.060-5,4374-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-19 12:15:51,2012-0.353.063-0,5613-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-12-19 12:20:45,2012-0.353.084-2,5291-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-19 12:23:10,2012-0.353.097-4,5961-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-21 12:10:09,2012-0.355.966-2,6088-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-22 12:01:16,2012-0.356.506-9,6297-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-12-22 12:01:45,2012-0.356.511-5,5123-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-27 12:01:12,2012-0.357.811-0,5180-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-27 12:04:54,2012-0.357.852-7,4936-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-27 12:05:38,2012-0.357.857-8,6181-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-12-27 12:05:38,2012-0.357.857-8,39570-16,Alvará de Aprovação de Edificação Nova,Inicial,Reconsideração,SMUL,RESID,Em Análise
2012-12-27 12:05:55,2012-0.357.860-8,6567-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-27 12:06:37,2012-0.357.866-7,5731-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-27 12:06:49,2012-0.357.868-3,5839-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-12-28 12:00:45,2012-0.358.858-1,4854-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-28 12:00:48,2012-0.358.859-0,5977-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-28 12:03:38,2012-0.358.890-5,6682-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-28 12:03:53,2012-0.358.892-1,6693-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-12-28 12:04:04,2012-0.358.894-8,6639-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,RESID,Processo Físico
