n_protocolo;n_processo;despacho;data_despacho;coord_despacho;data_extracao
23409/2021;1020.2020/0001918-7;Despacho de Indeferimento Comum;29/06/2021;GTEC;2023.08.04
24127/2021;1020.2021/0006194-0;Despacho de Indeferimento Comum;27/12/2021;GTEC;2023.08.04
24205/2021;1020.2020/0000450-3;Despacho de Indeferimento Comum;15/02/2022;GTEC;2023.08.04
24413/2022;1020.2021/0002835-8;Despacho de Deferimento Comum;17/06/2022;GTEC;2023.08.04
24484/2021;1020.2021/0006280-7;Despacho de Indeferimento Comum;20/05/2021;GTEC;2023.08.04
24496/2021;1020.2020/0001919-5;Despacho de Deferimento Comum;29/11/2021;GTEC;2023.08.04
24506/2021;1020.2020/0001890-3;Despacho de Indeferimento Comum;18/01/2022;GTEC;2023.08.04
24642/2021;1020.2020/0000912-2;Despacho de Indeferimento Comum;13/08/2021;GTEC;2023.08.04
24677/2021;1020.2020/0000686-7;Despacho de Indeferimento Comum;11/11/2021;GTEC;2023.08.04
24808/2022;1020.2021/0014348-3;Despacho de Deferimento Comum;20/04/2023;GTEC;2023.08.04
24931/2021;1020.2020/0002877-1;Despacho de Deferimento Comum;03/12/2021;GTEC;2023.08.04
2500/2022;1020.2020/0001930-6;Despacho de Deferimento Comum;11/02/2022;GTEC;2023.08.04
25108/2021;1020.2020/0002543-8;Despacho de Deferimento Comum;14/03/2022;GTEC;2023.08.04
25258/2021;1020.2020/0000484-8;Despacho de Deferimento Comum;08/07/2021;GTEC;2023.08.04
25351/2021;6068.2020/0000008-2;Despacho de Deferimento Comum;23/12/2021;GTEC;2023.08.04
25674/2021;1020.2020/0001927-6;Despacho de Indeferimento Comum;30/12/2021;GTEC;2023.08.04
25865/2021;6068.2020/0000002-3;Despacho de Deferimento Comum;08/10/2021;GTEC;2023.08.04
25867/2021;1020.2020/0009343-3;Despacho de Deferimento Comum;15/09/2022;GTEC;2023.08.04
25936/2021;1020.2020/0003403-8;Despacho de Deferimento Comum;08/12/2021;GTEC;2023.08.04
26100/2021;1020.2020/0000384-1;Despacho de Indeferimento Comum;02/08/2021;GTEC;2023.08.04
26218/2022;1020.2021/0002888-9;Despacho de Deferimento Comum;07/06/2022;GTEC;2023.08.04
26302/2021;1020.2020/0002839-9;Despacho de Deferimento Comum;02/08/2022;GTEC;2023.08.04
26423/2021;1020.2020/0001541-6;Despacho de Indeferimento Comum;17/12/2021;GTEC;2023.08.04
26567/2021;1020.2020/0000583-6;Despacho de Indeferimento Comum;29/06/2021;GTEC;2023.08.04
26598/2021;1020.2020/0005671-6;Despacho de Deferimento Comum;13/01/2022;GTEC;2023.08.04
26775/2021;1020.2020/0001599-8;Despacho de Deferimento Comum;15/12/2021;GTEC;2023.08.04
26807/2021;1020.2020/0002879-8;Despacho de Indeferimento Comum;24/08/2021;GTEC;2023.08.04
27022/2021;1020.2020/0006199-0;Despacho de Deferimento Comum;24/06/2022;GTEC;2023.08.04
27105/2021;1020.2020/0001648-0;Despacho de Deferimento Comum;20/04/2022;GTEC;2023.08.04
27216/2022;1020.2020/0009344-1;Despacho de Deferimento Comum;30/05/2022;GTEC;2023.08.04
27302/2021;1020.2020/0001217-4;Despacho de Indeferimento Comum;29/11/2021;GTEC;2023.08.04
27519/2021;1020.2020/0001916-0;Despacho de Indeferimento Comum;29/06/2021;GTEC;2023.08.04
2754/2021;1020.2020/0001077-5;Despacho de Indeferimento Comum;28/06/2021;GTEC;2023.08.04
27559/2021;1020.2020/0015760-1;Despacho de Deferimento Comum;20/08/2021;GTEC;2023.08.04
27736/2021;1020.2020/0001252-2;Despacho de Indeferimento Comum;02/09/2021;GTEC;2023.08.04
278/2022;1020.2020/0002661-2;Despacho de Deferimento Comum;05/07/2022;GTEC;2023.08.04
27905/2021;1020.2020/0011222-5;Despacho de Deferimento Comum;28/06/2021;GTEC;2023.08.04
27933/2021;1020.2020/0000347-7;Despacho de Deferimento Comum;19/11/2021;GTEC;2023.08.04
28197/2021;1020.2020/0002422-9;Despacho de Deferimento Comum;14/03/2022;GTEC;2023.08.04
28379/2021;1020.2021/0008057-0;Despacho de Indeferimento Comum;27/12/2021;GTEC;2023.08.04
