n_protocolo;n_processo;data_comuniquese;coord_comuniquese;data_extracao
2132/2020;1020.2020/0000697-2;29/06/2023;GTEC;2024.08.02
21345/2022;1020.2020/0005908-1;28/04/2023;GTEC;2024.08.02
21789/2022;1020.2020/0003817-3;05/09/2023;GTEC;2024.08.02
21941/2023;1020.2021/0017826-0;18/01/2024;GTEC;2024.08.02
21941/2023;1020.2021/0017826-0;25/03/2024;GTEC;2024.08.02
21943/2020;1020.2020/0012482-7;24/11/2022;GTEC;2024.08.02
22405/2022;1020.2022/0008695-3;15/12/2023;GTEC;2024.08.02
22405/2022;1020.2022/0008695-3;26/10/2023;GTEC;2024.08.02
22443/2021;1020.2021/0006638-1;05/07/2024;GTEC;2024.08.02
22443/2021;1020.2021/0006638-1;11/06/2024;GTEC;2024.08.02
22684/2023;1020.2022/0021886-8;16/01/2024;GTEC;2024.08.02
22684/2023;1020.2022/0021886-8;19/04/2024;GTEC;2024.08.02
22852/2020;1020.2020/0009122-8;13/05/2024;GTEC;2024.08.02
22852/2020;1020.2020/0009122-8;18/03/2024;GTEC;2024.08.02
22852/2020;1020.2020/0009122-8;26/10/2023;GTEC;2024.08.02
23771/2021;1020.2021/0006353-6;17/04/2023;GTEC;2024.08.02
24064/2023;1020.2023/0012636-1;05/01/2024;GTEC;2024.08.02
24064/2023;1020.2023/0012636-1;13/11/2023;GTEC;2024.08.02
24081/2020;1020.2020/0013587-0;05/06/2024;GTEC;2024.08.02
24087/2022;1020.2022/0008240-0;03/02/2023;GTEC;2024.08.02
24087/2022;1020.2022/0008240-0;06/04/2023;GTEC;2024.08.02
24087/2022;1020.2022/0008240-0;22/05/2023;GTEC;2024.08.02
24132/2023;1020.2022/0011886-3;12/09/2023;GTEC;2024.08.02
24332/2023;1020.2020/0015343-6;11/06/2024;GTEC;2024.08.02
24332/2023;1020.2020/0015343-6;22/01/2024;GTEC;2024.08.02
24332/2023;1020.2020/0015343-6;22/11/2023;GTEC;2024.08.02
24332/2023;1020.2020/0015343-6;29/04/2024;GTEC;2024.08.02
24744/2023;1020.2023/0014199-9;09/10/2023;GTEC;2024.08.02
25556/2023;1020.2022/0020919-2;31/10/2023;GTEC;2024.08.02
25557/2020;1020.2020/0016046-7;14/04/2023;GTEC;2024.08.02
25557/2020;1020.2020/0016046-7;17/01/2023;GTEC;2024.08.02
257/2022;1020.2022/0001904-0;17/05/2023;GTEC;2024.08.02
26234/2022;1020.2020/0005055-6;01/09/2023;GTEC;2024.08.02
26234/2022;1020.2020/0005055-6;10/11/2023;GTEC;2024.08.02
26312/2022;1020.2020/0003684-7;10/06/2024;GTEC;2024.08.02
26312/2022;1020.2020/0003684-7;22/04/2024;GTEC;2024.08.02
26531/2021;1020.2021/0007283-7;03/06/2024;GTEC;2024.08.02
26766/2021;1020.2021/0011097-6;20/07/2023;GTEC;2024.08.02
27034/2022;1020.2020/0005710-0;28/03/2024;GTEC;2024.08.02
27225/2022;1020.2022/0009218-0;16/01/2024;GTEC;2024.08.02
27709/2022;1020.2022/0016410-5;19/06/2023;GTEC;2024.08.02
27718/2021;1020.2021/0007887-8;07/06/2024;GTEC;2024.08.02
27989/2021;1020.2021/0011870-5;11/06/2024;GTEC;2024.08.02
28076/2022;1020.2021/0009724-4;08/01/2024;GTEC;2024.08.02
28076/2022;1020.2021/0009724-4;17/04/2024;GTEC;2024.08.02
28368/2020;1020.2020/0007448-0;08/12/2022;GTEC;2024.08.02
28368/2020;1020.2020/0007448-0;15/03/2023;GTEC;2024.08.02
28368/2020;1020.2020/0007448-0;19/05/2023;GTEC;2024.08.02
28406/2020;1020.2020/0006183-3;19/10/2022;GTEC;2024.08.02
28875/2021;1020.2021/0008324-3;03/05/2024;GTEC;2024.08.02
28875/2021;1020.2021/0008324-3;13/06/2024;GTEC;2024.08.02
