n_protocolo;n_processo;despacho;data_despacho;coord_despacho;data_extracao
29048/2021;1020.2020/0003478-0;Despacho de Deferimento Comum;01/09/2021;GTEC;2024.06.03
29265/2023;1020.2020/0004951-5;Despacho de Indeferimento Comum;18/09/2023;GTEC;2024.06.03
2935/2022;1020.2020/0003812-2;Despacho de Deferimento Comum;04/03/2022;GTEC;2024.06.03
29375/2021;1020.2020/0001655-2;Despacho de Deferimento Comum;05/08/2021;GTEC;2024.06.03
2950/2021;1020.2020/0001893-8;Despacho de Deferimento Comum;18/06/2021;GTEC;2024.06.03
29523/2021;1020.2020/0002047-9;Despacho de Deferimento Comum;25/08/2021;GTEC;2024.06.03
29613/2021;1020.2020/0003484-4;Despacho de Deferimento Comum;28/09/2022;GTEC;2024.06.03
29716/2021;1020.2020/0008330-6;Despacho de Deferimento Comum;06/06/2022;GTEC;2024.06.03
2973/2021;1020.2020/0011729-4;Despacho de Deferimento Comum;13/02/2021;GTEC;2024.06.03
29840/2021;1020.2020/0007226-6;Despacho de Deferimento Comum;30/08/2021;GTEC;2024.06.03
29846/2021;1020.2020/0001977-2;Despacho de Deferimento Comum;08/09/2021;GTEC;2024.06.03
29945/2023;1020.2023/0015106-4;Despacho de Indeferimento Comum;13/09/2023;GTEC;2024.06.03
30022/2021;1020.2021/0008503-3;Despacho de Deferimento Comum;29/06/2021;GTEC;2024.06.03
30071/2021;1020.2020/0000422-8;Despacho de Deferimento Comum;29/06/2022;GTEC;2024.06.03
30196/2021;1020.2020/0002131-9;Despacho de Deferimento Comum;02/06/2023;GTEC;2024.06.03
30224/2021;1020.2020/0000362-0;Despacho de Deferimento Comum;21/09/2021;GTEC;2024.06.03
30337/2021;1020.2020/0000357-4;Despacho de Deferimento Comum;24/01/2022;GTEC;2024.06.03
30389/2021;1020.2020/0002420-2;Despacho de Indeferimento Comum;12/07/2021;GTEC;2024.06.03
30734/2021;1020.2020/0008621-6;Despacho de Deferimento Comum;01/09/2021;GTEC;2024.06.03
30823/2023;1020.2023/0004255-9;Despacho de Deferimento Comum;20/09/2023;GTEC;2024.06.03
30827/2021;1020.2020/0002358-3;Despacho de Deferimento Comum;16/08/2021;GTEC;2024.06.03
30832/2021;1020.2020/0002711-2;Despacho de Deferimento Comum;16/05/2022;GTEC;2024.06.03
30998/2021;1020.2021/0009424-5;Despacho de Deferimento Comum;13/08/2021;GTEC;2024.06.03
31013/2021;1020.2020/0000589-5;Despacho de Deferimento Comum;12/08/2021;GTEC;2024.06.03
31114/2021;1020.2020/0000624-7;Despacho de Deferimento Comum;30/03/2022;GTEC;2024.06.03
31220/2021;1020.2020/0015694-0;Despacho de Deferimento Comum;01/10/2021;GTEC;2024.06.03
31243/2021;1020.2021/0000839-0;Despacho de Deferimento Comum;05/07/2021;GTEC;2024.06.03
31388/2021;1020.2020/0002019-3;Despacho de Deferimento Comum;17/06/2022;GTEC;2024.06.03
31520/2021;1020.2020/0002708-2;Despacho de Deferimento Comum;14/03/2022;GTEC;2024.06.03
31585/2021;1020.2020/0003527-1;Despacho de Deferimento Comum;05/10/2021;GTEC;2024.06.03
31652/2021;1020.2020/0004011-9;Despacho de Deferimento Comum;23/02/2022;GTEC;2024.06.03
31677/2021;1020.2020/0011014-1;Despacho de Deferimento Comum;14/09/2023;GTEC;2024.06.03
31942/2021;1020.2020/0002503-9;Despacho de Deferimento Comum;11/10/2023;GTEC;2024.06.03
32040/2021;1020.2020/0002368-0;Despacho de Deferimento Comum;13/07/2021;GTEC;2024.06.03
32073/2021;1020.2020/0001274-3;Despacho de Deferimento Comum;17/12/2021;GTEC;2024.06.03
32103/2021;1020.2020/0000474-0;Despacho de Deferimento Comum;13/01/2022;GTEC;2024.06.03
32105/2021;1020.2020/0000482-1;Despacho de Deferimento Comum;11/01/2022;GTEC;2024.06.03
32107/2021;1020.2020/0000110-5;Despacho de Indeferimento Comum;11/11/2021;GTEC;2024.06.03
3213/2022;1020.2020/0015244-8;Despacho de Deferimento Comum;25/05/2022;GTEC;2024.06.03
32230/2023;1020.2022/0022294-6;Despacho de Deferimento Comum;28/09/2023;GTEC;2024.06.03
32243/2021;1020.2020/0003044-0;Despacho de Deferimento Comum;11/11/2022;GTEC;2024.06.03
32250/2021;1020.2020/0000585-2;Despacho de Deferimento Comum;09/09/2021;GTEC;2024.06.03
32256/2021;1020.2020/0001581-5;Despacho de Indeferimento Comum;23/12/2021;GTEC;2024.06.03
32448/2021;1020.2020/0000679-4;Despacho de Indeferimento Comum;06/12/2021;GTEC;2024.06.03
32482/2021;1020.2020/0000052-4;Despacho de Deferimento Comum;19/01/2022;GTEC;2024.06.03
32490/2021;1020.2020/0000725-1;Despacho de Indeferimento Comum;24/09/2021;GTEC;2024.06.03
32717/2023;1020.2020/0014045-8;Despacho de Deferimento Comum;14/09/2023;GTEC;2024.06.03
32768/2021;1020.2020/0002325-7;Despacho de Deferimento Comum;31/01/2022;GTEC;2024.06.03
