dt_autuacao,n_processos,assunto,unidade,status
09/01/2020,6068.2020/0000003-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
09/01/2020,6068.2020/0000003-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
18/01/2020,1020.2020/0000013-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
18/01/2020,1020.2020/0000013-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
21/01/2020,1020.2020/0000022-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
21/01/2020,1020.2020/0000022-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
21/01/2020,1020.2020/0000024-9,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
21/01/2020,1020.2020/0000024-9,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
21/01/2020,1020.2020/0000027-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
21/01/2020,1020.2020/0000027-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
22/01/2020,1020.2020/0000032-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
22/01/2020,1020.2020/0000032-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
22/01/2020,1020.2020/0000033-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
22/01/2020,1020.2020/0000033-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
22/01/2020,1020.2020/0000042-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
22/01/2020,1020.2020/0000042-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
22/01/2020,1020.2020/0000043-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
22/01/2020,1020.2020/0000043-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
22/01/2020,1020.2020/0000045-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
22/01/2020,1020.2020/0000045-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
23/01/2020,1020.2020/0000054-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
23/01/2020,1020.2020/0000054-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
23/01/2020,1020.2020/0000060-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
23/01/2020,1020.2020/0000060-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
23/01/2020,1020.2020/0000068-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
23/01/2020,1020.2020/0000068-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
23/01/2020,1020.2020/0000073-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
23/01/2020,1020.2020/0000073-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
24/01/2020,1020.2020/0000080-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
24/01/2020,1020.2020/0000080-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
24/01/2020,1020.2020/0000089-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2,Indeferida
