dt_autuacao,n_processos,assunto,unidade,status
18/07/2023,1020.2023/0013840-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
18/07/2023,1020.2023/0013848-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
18/07/2023,1020.2023/0013849-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
19/07/2023,1020.2023/0013934-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
19/07/2023,1020.2023/0013935-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
19/07/2023,1020.2023/0013940-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
20/07/2023,1020.2023/0014052-6,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
20/07/2023,1020.2023/0014054-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
20/07/2023,1020.2023/0014063-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
21/07/2023,1020.2023/0014154-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
21/07/2023,1020.2023/0014162-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
24/07/2023,1020.2023/0014250-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
24/07/2023,1020.2023/0014258-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
25/07/2023,1020.2023/0014370-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
28/07/2023,1020.2023/0014647-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
28/07/2023,1020.2023/0014658-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
31/07/2023,1020.2023/0014763-6,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
31/07/2023,1020.2023/0014774-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
31/07/2023,1020.2023/0014781-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
01/08/2023,1020.2023/0014834-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
01/08/2023,1020.2023/0014843-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
03/08/2023,1020.2023/0015065-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
07/08/2023,1020.2023/0015320-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
07/08/2023,1020.2023/0015323-7,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
11/08/2023,1020.2023/0015682-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
14/08/2023,1020.2023/0015770-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
18/08/2023,1020.2023/0016252-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
18/08/2023,1020.2023/0016253-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
18/08/2023,1020.2023/0016254-6,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
18/08/2023,1020.2023/0016256-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
22/08/2023,1020.2023/0016445-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
22/08/2023,1020.2023/0016446-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
