dt_autuacao,n_processos,assunto,unidade,status
16/01/2020,6068.2020/0000013-9,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
16/01/2020,6068.2020/0000013-9,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
16/01/2020,6068.2020/0000014-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
16/01/2020,6068.2020/0000014-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
17/01/2020,6068.2020/0000020-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
17/01/2020,6068.2020/0000020-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
17/01/2020,1020.2020/0000005-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
17/01/2020,1020.2020/0000005-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
17/01/2020,1020.2020/0000007-9,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
17/01/2020,1020.2020/0000007-9,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
18/01/2020,1020.2020/0000015-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
18/01/2020,1020.2020/0000015-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
21/01/2020,1020.2020/0000020-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
21/01/2020,1020.2020/0000020-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
21/01/2020,1020.2020/0000021-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
21/01/2020,1020.2020/0000021-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
22/01/2020,1020.2020/0000035-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-3,Indeferida
