dt_autuacao,n_processos,assunto,unidade,status
15/01/2020,6068.2020/0000005-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
16/01/2020,6068.2020/0000019-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
18/01/2020,1020.2020/0000010-9,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
18/01/2020,1020.2020/0000010-9,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
18/01/2020,1020.2020/0000016-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Em Análise
25/01/2020,1020.2020/0000121-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
04/02/2020,1020.2020/0000305-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
04/02/2020,1020.2020/0000305-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
04/02/2020,1020.2020/0000306-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
04/02/2020,1020.2020/0000306-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
04/02/2020,1020.2020/0000325-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
04/02/2020,1020.2020/0000325-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
04/02/2020,1020.2020/0000331-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
04/02/2020,1020.2020/0000331-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
05/02/2020,1020.2020/0000342-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Em Análise
05/02/2020,1020.2020/0000342-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Em Análise
06/02/2020,1020.2020/0000375-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
06/02/2020,1020.2020/0000375-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
06/02/2020,1020.2020/0000386-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
06/02/2020,1020.2020/0000386-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000389-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000389-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000390-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000390-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000391-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000391-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000392-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000392-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000393-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000393-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000396-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000396-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000397-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000397-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000400-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000400-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000402-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Em Análise
07/02/2020,1020.2020/0000404-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000404-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Indeferida
07/02/2020,1020.2020/0000411-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1-Análise,Em Análise
